,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
386,Daryl Macon,SG,24,MIA,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,J.P. Macura,SG,24,CLE,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Josh Magette,PG,30,ORL,8,0,4.8,0.6,1.9,.333,0.1,0.5,.250,0.5,1.4,.364,.367,0.1,0.3,.500,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5
390,Ian Mahinmi,C,33,WAS,38,35,21.3,2.7,5.5,.495,0.1,0.7,.192,2.6,4.8,.538,.507,1.8,3.0,.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
391,Thon Maker,C,22,DET,60,14,12.9,1.6,3.2,.482,0.4,1.1,.344,1.2,2.2,.550,.539,1.2,1.8,.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
392,Terance Mann,SG,23,LAC,35,6,7.7,0.6,1.5,.407,0.1,0.3,.250,0.5,1.2,.452,.435,0.3,0.3,.750,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1.0,1.6
393,Boban Marjanović,C,31,DAL,37,2,9.1,2.6,4.7,.555,0.1,0.4,.267,2.5,4.3,.582,.566,1.0,1.3,.766,1.4,2.7,4.1,0.4,0.2,0.2,0.7,1.3,6.3
394,Lauri Markkanen,PF,22,CHI,50,50,29.8,5.0,11.8,.425,2.2,6.3,.344,2.8,5.5,.518,.517,2.5,3.1,.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7
395,Caleb Martin,SF,24,CHO,18,1,17.6,2.1,4.7,.440,1.1,2.1,.541,0.9,2.6,.362,.560,0.9,1.2,.810,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2
396,Cody Martin,SF,24,CHO,48,3,18.8,1.9,4.3,.430,0.4,1.6,.234,1.5,2.7,.546,.473,0.9,1.4,.646,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0
397,Jeremiah Martin,PG,23,BRK,3,0,5.3,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,0.0,0.0,,0.0,0.7,0.7,0.7,0.3,0.3,0.0,0.0,0.7
398,Kelan Martin,SF,24,MIN,31,4,16.0,2.3,5.8,.392,0.8,3.1,.260,1.5,2.7,.541,.461,1.0,1.0,.968,0.4,2.7,3.1,0.7,0.2,0.3,0.6,1.6,6.4
399,Frank Mason III,PG,25,MIL,6,0,8.8,0.8,3.2,.263,0.3,1.7,.200,0.5,1.5,.333,.316,0.3,0.7,.500,0.5,0.8,1.3,1.8,0.3,0.0,1.0,0.7,2.3
400,Garrison Mathews,SG,23,WAS,18,0,12.6,1.3,3.1,.429,1.1,2.6,.413,0.3,0.6,.500,.598,1.7,1.9,.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4
401,Wesley Matthews,SG,33,MIL,62,62,24.7,2.6,6.5,.397,1.6,4.5,.365,0.9,2.0,.468,.522,0.8,1.0,.762,0.3,2.2,2.6,1.5,0.6,0.1,0.7,1.5,7.5
402,Patrick McCaw,SF,24,TOR,37,12,24.5,1.8,4.4,.414,0.6,1.9,.324,1.2,2.5,.484,.485,0.4,0.5,.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
403,CJ McCollum,SG,28,POR,62,62,36.0,8.9,19.5,.453,2.8,7.4,.380,6.0,12.2,.497,.525,2.0,2.6,.750,0.7,3.4,4.1,4.3,0.7,0.6,1.9,2.6,22.5
404,T.J. McConnell,PG,27,IND,63,3,18.9,3.0,5.7,.517,0.1,0.2,.333,2.9,5.5,.524,.523,0.5,0.6,.833,0.5,2.1,2.6,5.0,0.7,0.2,1.4,1.1,6.5
405,Jalen McDaniels,PF,22,CHO,16,0,18.3,2.1,4.4,.471,0.6,1.5,.375,1.5,2.9,.522,.536,0.9,1.1,.824,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,5.6
406,Doug McDermott,PF,28,IND,62,0,20.0,3.9,7.9,.491,1.9,4.3,.445,2.0,3.6,.544,.611,0.7,0.8,.827,0.4,2.1,2.5,1.1,0.1,0.1,0.6,1.7,10.4
407,JaVale McGee,C,32,LAL,61,61,16.8,3.0,4.6,.640,0.0,0.1,.500,2.9,4.5,.643,.645,0.8,1.2,.653,1.8,4.0,5.8,0.6,0.5,1.5,0.8,2.4,6.8
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Rodney McGruder,SG,28,LAC,50,3,15.0,1.2,3.1,.391,0.4,1.6,.278,0.8,1.5,.506,.462,0.3,0.6,.536,0.5,2.0,2.6,0.6,0.5,0.2,0.4,1.3,3.2
410,Alfonzo McKinnie,SF,27,CLE,40,1,14.8,1.8,4.3,.427,0.4,1.6,.215,1.5,2.7,.557,.468,0.6,0.8,.710,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
411,Jordan McLaughlin,PG,23,MIN,30,2,19.7,2.9,5.9,.489,1.0,2.5,.382,1.9,3.4,.569,.570,0.9,1.3,.667,0.2,1.4,1.6,4.2,1.1,0.1,1.0,1.0,7.6
412,Ben McLemore,SG,26,HOU,63,19,22.8,3.3,7.5,.445,2.4,6.2,.395,0.9,1.3,.688,.609,0.7,1.0,.758,0.3,1.9,2.2,0.9,0.6,0.2,0.7,2.1,9.8
413,Jordan McRae,SG,28,TOT,37,4,21.2,4.0,9.9,.407,1.2,3.4,.357,2.8,6.5,.433,.469,2.2,2.9,.761,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2.0,11.5
414,Jordan McRae,SG,28,WAS,29,4,22.6,4.6,10.9,.420,1.4,3.7,.377,3.2,7.3,.441,.483,2.2,2.9,.771,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,12.8
415,Jordan McRae,SG,28,DEN,4,0,8.0,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.8,1.0,.750,0.3,1.0,1.3,1.0,0.5,0.3,0.0,0.5,2.3
416,Jordan McRae,SG,28,DET,4,0,24.5,3.5,10.8,.326,0.8,4.0,.188,2.8,6.8,.407,.360,4.0,5.5,.727,0.0,3.8,3.8,1.8,0.0,0.0,1.3,2.5,11.8
417,Nicolò Melli,C,29,NOP,52,6,17.1,2.4,5.3,.442,1.3,3.5,.361,1.1,1.9,.592,.559,0.8,1.2,.733,0.7,2.3,3.0,1.3,0.6,0.4,0.8,2.0,6.8
418,De'Anthony Melton,PG,21,MEM,52,8,19.4,2.8,6.8,.419,0.7,2.3,.316,2.1,4.5,.470,.472,1.7,2.0,.821,0.7,3.0,3.7,3.0,1.3,0.3,1.5,1.8,8.1
419,Chimezie Metu,PF,22,SAS,16,0,4.6,1.3,2.2,.571,0.0,0.1,.000,1.3,2.1,.588,.571,0.4,0.5,.750,0.6,1.0,1.6,0.4,0.1,0.3,0.3,0.3,2.9
420,Khris Middleton,SF,28,MIL,55,52,30.1,7.7,15.5,.499,2.4,5.8,.418,5.3,9.7,.547,.577,3.2,3.6,.908,0.7,5.5,6.2,4.1,0.9,0.1,2.1,2.2,21.1
421,Eric Mika,PF,25,SAC,1,0,19.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0
422,C.J. Miles,SG,32,WAS,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
423,Malcolm Miller,SF,26,TOR,25,1,5.0,0.3,1.0,.333,0.2,0.8,.316,0.1,0.2,.400,.458,0.0,0.2,.167,0.0,0.5,0.6,0.3,0.2,0.1,0.1,0.5,0.9
424,Patty Mills,PG,31,SAS,63,1,22.7,3.9,9.1,.429,2.3,6.2,.380,1.6,3.0,.529,.557,1.5,1.7,.861,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.7
425,Paul Millsap,PF,34,DEN,44,41,24.4,4.3,8.8,.486,1.1,2.5,.440,3.2,6.3,.504,.548,2.4,2.9,.833,2.0,3.9,5.9,1.6,0.9,0.6,1.4,2.9,12.0
426,Shake Milton,SG,23,PHI,32,16,19.1,3.4,6.8,.498,1.5,3.3,.453,1.9,3.5,.541,.608,1.2,1.6,.765,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5
427,Donovan Mitchell,SG,23,UTA,63,63,34.4,8.9,19.6,.453,2.5,6.8,.364,6.4,12.8,.501,.517,4.0,4.6,.859,0.7,3.7,4.4,4.2,1.0,0.2,2.7,2.4,24.2
428,Naz Mitrou-Long,SG,26,IND,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
429,Adam Mokoka,SG,21,CHI,11,0,10.2,1.1,2.5,.429,0.5,1.4,.400,0.5,1.2,.462,.536,0.2,0.4,.500,0.6,0.3,0.9,0.4,0.4,0.0,0.2,1.5,2.9
430,Malik Monk,SG,21,CHO,55,1,21.3,3.9,8.9,.434,1.1,3.7,.284,2.8,5.2,.542,.494,1.5,1.8,.820,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3
431,Matt Mooney,SG,22,CLE,4,0,4.8,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,.250,0.0,0.0,,0.0,0.8,0.8,0.3,0.5,0.3,0.0,0.3,0.5
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,E'Twaun Moore,SG,30,NOP,51,5,18.8,3.4,8.0,.424,1.2,3.1,.375,2.2,4.9,.456,.498,0.6,0.8,.674,0.6,1.8,2.4,1.4,0.5,0.2,0.7,1.5,8.6
434,Ja Morant,PG,20,MEM,59,59,30.0,6.7,13.6,.491,0.9,2.4,.367,5.8,11.2,.517,.523,3.5,4.5,.770,0.7,2.8,3.5,6.9,0.9,0.3,3.2,1.5,17.6
435,Juwan Morgan,PF,22,UTA,16,0,4.6,0.6,1.1,.529,0.1,0.3,.200,0.5,0.8,.667,.559,0.0,0.0,,0.3,0.9,1.2,0.1,0.0,0.1,0.2,0.4,1.2
436,Marcus Morris,SF-PF,30,TOT,55,55,31.4,5.9,13.6,.433,2.4,5.9,.410,3.5,7.7,.451,.522,3.1,3.8,.823,1.0,4.1,5.1,1.4,0.8,0.5,1.6,2.9,17.4
437,Marcus Morris,SF,30,NYK,43,43,32.3,6.5,14.8,.442,2.7,6.1,.439,3.8,8.7,.444,.533,3.8,4.6,.823,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,19.6
438,Marcus Morris,PF,30,LAC,12,12,28.3,3.7,9.5,.386,1.4,5.0,.283,2.3,4.5,.500,.461,0.8,0.9,.818,0.6,3.4,4.0,1.5,0.7,0.8,1.3,2.8,9.5
439,Markieff Morris,PF,30,TOT,52,16,21.3,3.6,8.2,.445,1.6,4.0,.386,2.1,4.1,.502,.540,1.3,1.6,.783,0.7,3.2,3.8,1.4,0.5,0.3,1.4,2.3,10.1
440,Markieff Morris,PF,30,DET,44,16,22.5,4.0,8.8,.450,1.7,4.3,.397,2.3,4.5,.500,.546,1.4,1.8,.772,0.5,3.4,3.9,1.6,0.6,0.3,1.6,2.4,11.0
441,Markieff Morris,PF,30,LAL,8,0,14.8,1.8,4.5,.389,0.8,2.6,.286,1.0,1.9,.533,.472,0.5,0.5,1.000,1.3,2.0,3.3,0.6,0.3,0.5,0.6,2.0,4.8
442,Monte Morris,PG,24,DEN,65,8,21.6,3.4,7.4,.459,0.8,2.2,.375,2.6,5.2,.494,.514,0.8,1.0,.823,0.3,1.4,1.7,3.5,0.8,0.2,0.7,1.0,8.4
443,Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,1.2,.733,0.1,0.1,1.000,0.8,1.1,.714,.767,0.4,0.5,.714,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2
444,Emmanuel Mudiay,PG,23,UTA,48,1,15.7,2.8,6.0,.471,0.6,1.6,.355,2.3,4.4,.512,.517,1.1,1.4,.754,0.4,2.0,2.4,2.2,0.4,0.2,1.4,1.3,7.3
445,Mychal Mulder,SG,25,GSW,7,3,29.1,3.7,9.6,.388,2.3,7.4,.308,1.4,2.1,.667,.507,1.3,1.7,.750,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11.0
446,Dejounte Murray,PG,23,SAS,58,50,24.9,4.4,9.3,.475,0.6,1.6,.378,3.8,7.7,.494,.507,1.3,1.6,.798,1.2,4.6,5.8,4.1,1.7,0.3,1.9,2.2,10.7
447,Jamal Murray,PG,22,DEN,55,55,32.8,7.0,15.4,.455,1.9,5.5,.345,5.1,9.9,.517,.517,2.9,3.2,.893,0.8,3.2,3.9,4.8,1.2,0.3,2.3,1.8,18.8
448,Džanan Musa,SF,20,BRK,35,0,11.5,1.4,4.0,.360,0.4,1.9,.231,1.0,2.1,.473,.414,0.9,1.3,.750,0.5,1.5,2.0,0.9,0.4,0.0,0.8,0.7,4.2
449,Mike Muscala,C,28,OKC,41,0,12.0,1.6,3.9,.403,1.0,2.9,.358,0.5,1.0,.538,.538,0.4,0.5,.818,0.3,2.0,2.3,0.8,0.2,0.3,0.3,1.2,4.6
450,Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,3.0,7.2,.410,2.1,5.1,.404,0.9,2.1,.425,.552,1.0,1.3,.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
451,Abdel Nader,SF,26,OKC,48,5,15.8,2.1,4.6,.455,0.8,2.2,.371,1.3,2.4,.530,.543,1.0,1.3,.774,0.3,1.6,1.9,0.7,0.4,0.4,0.8,1.4,6.0
452,Larry Nance Jr.,C,27,CLE,56,10,26.3,4.1,7.7,.531,1.0,2.8,.352,3.1,4.9,.636,.596,0.9,1.3,.676,1.9,5.4,7.3,2.2,1.0,0.4,1.1,1.6,10.1
453,Shabazz Napier,PG,28,TOT,51,30,24.2,3.3,8.1,.412,1.4,4.4,.320,1.9,3.7,.518,.498,2.3,2.8,.823,0.5,2.4,2.9,5.0,1.3,0.2,2.2,1.8,10.3
454,Shabazz Napier,PG,28,MIN,36,22,23.8,3.2,7.9,.403,1.3,4.4,.296,1.9,3.4,.540,.486,2.0,2.4,.818,0.5,2.6,3.1,5.2,1.1,0.2,2.1,1.7,9.6
455,Shabazz Napier,PG,28,WAS,15,8,25.2,3.7,8.7,.431,1.6,4.2,.381,2.1,4.5,.478,.523,2.9,3.5,.830,0.5,1.9,2.4,4.4,1.7,0.1,2.3,2.1,12.0
456,Raul Neto,PG,27,PHI,49,3,11.5,1.6,3.6,.451,0.6,1.4,.394,1.0,2.1,.490,.531,0.5,0.6,.839,0.2,0.8,1.1,1.6,0.4,0.1,0.9,0.9,4.3
457,Malik Newman,SG,22,CLE,1,0,4.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
458,Georges Niang,PF,26,UTA,58,0,13.3,2.1,4.6,.453,1.3,3.2,.416,0.7,1.4,.538,.598,0.3,0.4,.864,0.2,1.7,1.9,0.6,0.2,0.1,0.4,1.1,5.8
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Nerlens Noel,C,25,OKC,55,6,18.4,3.2,4.6,.685,0.0,0.1,.333,3.1,4.6,.689,.687,1.4,1.8,.765,1.5,3.4,4.9,1.0,1.0,1.5,1.0,2.6,7.7
461,Zach Norvell,SG,22,TOT,5,0,8.2,0.6,2.4,.250,0.6,1.6,.375,0.0,0.8,.000,.375,0.2,0.2,1.000,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0
462,Zach Norvell,SG,22,LAL,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
463,Zach Norvell,SG,22,GSW,3,0,12.0,1.0,3.7,.273,1.0,2.7,.375,0.0,1.0,.000,.409,0.3,0.3,1.000,0.0,1.7,1.7,1.0,0.7,0.0,1.0,1.3,3.3
464,Jaylen Nowell,SG,20,MIN,15,0,10.1,1.3,3.5,.358,0.2,1.7,.115,1.1,1.8,.593,.387,1.1,1.1,.941,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8
465,Frank Ntilikina,PG,21,NYK,57,26,20.8,2.3,5.8,.393,0.8,2.4,.321,1.5,3.4,.444,.459,0.9,1.0,.864,0.4,1.7,2.1,3.0,0.9,0.3,1.2,2.5,6.3
466,Kendrick Nunn,SG,24,MIA,62,62,29.8,6.1,13.7,.448,2.1,5.8,.362,4.0,7.9,.512,.525,1.2,1.5,.837,0.3,2.4,2.7,3.4,0.8,0.2,1.6,2.3,15.6
467,David Nwaba,SF,27,BRK,20,0,13.4,1.9,3.6,.521,0.6,1.4,.429,1.3,2.2,.581,.606,0.9,1.4,.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
468,Royce O'Neale,PF,26,UTA,64,55,29.1,2.2,5.0,.439,1.3,3.3,.389,0.9,1.7,.536,.567,0.6,0.8,.735,0.3,5.0,5.3,2.5,0.7,0.4,0.8,2.8,6.3
469,Kyle O'Quinn,C,29,PHI,26,1,9.9,1.3,2.8,.486,0.3,0.9,.304,1.1,1.9,.571,.535,0.4,0.7,.526,1.2,2.5,3.8,1.3,0.2,0.8,0.7,1.3,3.3
470,Semi Ojeleye,PF,25,BOS,61,5,14.6,1.1,2.6,.409,0.6,1.6,.367,0.5,1.0,.475,.522,0.4,0.5,.893,0.4,1.6,2.0,0.5,0.3,0.1,0.2,1.0,3.1
471,Jahlil Okafor,C,24,NOP,28,9,15.1,3.1,5.1,.611,0.0,0.1,.500,3.1,5.1,.613,.615,1.3,2.1,.638,1.6,2.6,4.3,1.3,0.3,0.7,1.3,2.3,7.6
472,Elie Okobo,PG,22,PHO,54,3,13.1,1.3,3.4,.398,0.5,1.3,.352,0.9,2.0,.427,.467,0.9,1.2,.687,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0
473,Josh Okogie,SG,21,MIN,62,28,25.0,2.7,6.4,.427,0.7,2.5,.266,2.1,3.9,.529,.479,2.5,3.1,.796,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6
474,KZ Okpala,SF,20,MIA,5,0,5.2,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
475,Victor Oladipo,SG,27,IND,13,10,25.9,4.8,12.4,.391,1.6,5.3,.304,3.2,7.1,.457,.457,2.5,3.2,.780,0.5,2.6,3.2,3.0,0.8,0.2,2.2,1.6,13.8
476,Kelly Olynyk,C,28,MIA,59,6,18.5,2.6,5.4,.476,1.4,3.1,.432,1.2,2.2,.538,.603,1.2,1.4,.854,0.6,3.8,4.4,1.6,0.6,0.3,1.1,2.4,7.7
477,Miye Oni,SG,22,UTA,5,0,2.2,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0
478,Cedi Osman,SF,24,CLE,65,65,29.4,4.1,9.4,.437,1.9,4.9,.383,2.2,4.4,.497,.538,1.0,1.4,.670,0.6,3.0,3.6,2.4,0.8,0.2,1.4,2.5,11.0
479,Kelly Oubre Jr.,SF,24,PHO,56,55,34.5,6.7,14.8,.452,1.9,5.5,.352,4.7,9.3,.511,.517,3.4,4.4,.780,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
480,Tariq Owens,PF,24,PHO,3,0,5.0,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,0.7,1.000,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
481,Jeremy Pargo,PG,33,GSW,3,0,14.7,3.7,7.3,.500,1.0,2.3,.429,2.7,5.0,.533,.568,0.0,0.3,.000,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Jabari Parker,PF,24,TOT,33,23,25.8,6.0,12.1,.499,0.9,3.5,.267,5.1,8.6,.594,.538,1.7,2.2,.743,1.6,4.3,5.9,1.8,1.3,0.5,1.8,2.8,14.7
484,Jabari Parker,PF,24,ATL,32,23,26.2,6.2,12.3,.504,1.0,3.6,.270,5.2,8.7,.601,.543,1.7,2.3,.736,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,15.0
485,Jabari Parker,PF,24,SAC,1,0,15.0,1.0,6.0,.167,0.0,1.0,.000,1.0,5.0,.200,.167,2.0,2.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0
486,Chandler Parsons,SF,31,ATL,5,0,10.8,1.0,3.6,.278,0.8,2.8,.286,0.2,0.8,.250,.389,0.0,0.0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
487,Eric Paschall,PF,23,GSW,60,26,27.6,5.3,10.7,.497,0.6,2.2,.287,4.7,8.5,.550,.526,2.7,3.5,.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14.0
488,Anžejs Pasečņiks,C,24,WAS,24,0,16.9,2.3,4.4,.528,0.0,0.1,.000,2.3,4.3,.538,.528,1.3,2.3,.593,1.6,2.5,4.1,0.7,0.3,0.5,0.9,2.7,6.0
489,Patrick Patterson,PF,30,LAC,51,18,11.9,1.5,3.7,.404,1.1,2.8,.387,0.4,0.9,.457,.551,0.5,0.7,.794,0.6,1.8,2.4,0.6,0.1,0.1,0.4,0.8,4.6
490,Justin Patton,C,22,OKC,5,0,4.8,0.8,2.0,.400,0.2,0.8,.250,0.6,1.2,.500,.450,0.0,0.0,,0.2,0.8,1.0,0.4,0.0,0.0,0.4,0.8,1.8
491,Chris Paul,PG,34,OKC,63,63,31.8,6.3,12.8,.489,1.6,4.4,.362,4.7,8.3,.557,.552,3.6,4.0,.900,0.3,4.6,4.9,6.8,1.6,0.1,2.2,2.2,17.7
492,Elfrid Payton,PG,25,NYK,45,36,27.7,4.3,9.8,.439,0.3,1.5,.203,4.0,8.2,.482,.455,1.1,1.9,.570,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2.0,10.0
493,Gary Payton II,PG,27,WAS,29,17,14.9,1.7,4.0,.414,0.4,1.6,.283,1.2,2.4,.500,.470,0.1,0.3,.500,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
494,Norvel Pelle,C,26,PHI,20,0,8.9,0.9,1.8,.514,0.0,0.0,,0.9,1.8,.514,.514,0.3,0.6,.500,0.8,2.2,3.0,0.4,0.1,1.3,0.7,2.0,2.1
495,Theo Pinson,SG,24,BRK,33,0,11.1,1.4,4.7,.290,0.5,2.4,.188,0.9,2.3,.400,.339,0.5,0.5,.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6
496,Mason Plumlee,C,29,DEN,53,1,17.0,2.9,4.7,.617,0.0,0.1,.000,2.9,4.6,.627,.617,1.4,2.6,.536,1.7,3.6,5.3,2.4,0.5,0.6,1.4,2.4,7.2
497,Vincent Poirier,C,26,BOS,21,0,5.4,0.8,1.6,.485,0.0,0.1,.500,0.7,1.5,.484,.500,0.3,0.3,.857,0.5,1.1,1.6,0.3,0.1,0.3,0.3,1.1,1.9
498,Jakob Pöltl,C,24,SAS,58,10,16.6,2.3,3.8,.619,0.0,0.0,,2.3,3.8,.619,.619,0.6,1.3,.486,1.8,3.6,5.3,1.8,0.5,1.4,0.8,1.7,5.3
499,Shamorie Ponds,PG,21,TOR,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
500,Jordan Poole,SG,20,GSW,57,14,22.4,2.9,8.8,.333,1.3,4.6,.279,1.6,4.2,.392,.406,1.7,2.1,.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
501,Kevin Porter Jr.,SF,19,CLE,50,3,23.2,3.7,8.4,.442,1.1,3.2,.335,2.7,5.3,.506,.505,1.5,2.0,.723,0.4,2.8,3.2,2.2,0.9,0.3,1.9,2.7,10.0
502,Michael Porter Jr.,PF,21,DEN,48,1,14.0,2.9,5.9,.495,0.9,2.1,.422,2.0,3.8,.536,.570,0.7,0.9,.767,1.1,3.0,4.1,0.7,0.4,0.4,0.7,1.6,7.5
503,Otto Porter,SF,26,CHI,14,9,23.6,4.4,10.0,.443,1.7,4.4,.387,2.7,5.6,.487,.529,1.4,1.9,.704,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,11.9
504,Bobby Portis,C,24,NYK,66,5,21.1,4.0,8.9,.450,1.0,2.8,.358,3.0,6.1,.493,.507,1.1,1.4,.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Kristaps Porziņģis,PF,24,DAL,51,51,31.3,6.6,15.8,.420,2.5,7.1,.349,4.2,8.8,.477,.498,3.5,4.5,.776,1.7,7.7,9.5,1.7,0.7,2.1,1.6,3.1,19.2
507,Dwight Powell,C,28,DAL,40,37,26.5,3.7,5.7,.638,0.3,1.0,.256,3.4,4.8,.716,.659,1.9,2.8,.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
508,Norman Powell,SG,26,TOR,44,23,28.8,5.9,11.7,.502,2.1,5.4,.398,3.8,6.4,.589,.593,2.5,3.0,.838,0.5,3.1,3.7,1.8,1.3,0.4,1.5,2.1,16.4
509,Chasson Randle,PG,26,GSW,3,0,13.3,0.0,1.3,.000,0.0,0.7,.000,0.0,0.7,.000,.000,1.7,2.0,.833,0.0,0.7,0.7,1.7,0.7,0.0,0.0,1.0,1.7
510,Julius Randle,PF,25,NYK,64,64,32.5,7.2,15.7,.460,1.0,3.6,.277,6.2,12.1,.515,.492,4.0,5.5,.733,2.4,7.4,9.7,3.1,0.8,0.3,3.0,2.8,19.5
511,Josh Reaves,SG,22,DAL,2,0,0.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,Cam Reddish,SF,20,ATL,58,34,26.7,3.7,9.6,.384,1.4,4.3,.332,2.2,5.2,.428,.459,1.7,2.2,.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5
513,J.J. Redick,SG,35,NOP,54,35,26.4,4.6,10.3,.450,2.9,6.4,.452,1.8,3.9,.446,.590,2.7,3.0,.902,0.2,2.4,2.6,2.0,0.4,0.2,1.2,1.6,14.9
514,Naz Reid,C,20,MIN,30,11,16.5,3.3,8.1,.412,1.1,3.2,.330,2.3,4.9,.466,.477,1.2,1.8,.698,1.1,3.0,4.1,1.2,0.6,0.7,0.7,2.8,9.0
515,Josh Richardson,SG,26,PHI,48,46,30.7,5.1,12.0,.429,1.5,4.5,.327,3.7,7.5,.489,.490,2.1,2.7,.789,0.8,2.6,3.4,3.1,0.9,0.7,1.9,2.5,13.8
